sentences,labels
whats up,0
really surprised with how badly the portfolio has performed,1
i need your compliance persons contact details asap,1
did you see the game ?,0
the irish mens football team are a joke,0
"portfolio did really well versus market, well done",0
did you get up to much  on the weekend?,0
now restrictions are lifted its on,0
whats happening with bitcoin,0
can you give me a call,0
"we need to talk , we are just not happy with how you handled our account",1
Good morning Mary,0
loving those cheap flights,0